Id,Nro Víctimas,Año,Mes,Día,Hora,Tipo de calle,Cruce,Lugar del hecho,Comuna,Pos x,Pos y,Participantes,Víctima,Acusado,Rol,Sexo,Edad
2016-0001,1,2016,Enero,Viernes,4,AVENIDA,SI,"PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.47533969,-34.68757022,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,19
2016-0002,1,2016,Enero,Sábado,1,GRAL PAZ,SI,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,AUTO-PASAJEROS,AUTO,PASAJEROS,CONDUCTOR,MASCULINO,70
2016-0003,1,2016,Enero,Domingo,7,AVENIDA,NO,ENTRE RIOS AV. 2034,1,-58.39040293,-34.63189362,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,30
2016-0004,1,2016,Enero,Domingo,0,AVENIDA,SI,"LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.",8,-58.46503904,-34.68092974,MOTO-SD,MOTO,SD,CONDUCTOR,MASCULINO,18
2016-0005,1,2016,Enero,Jueves,5,AVENIDA,SI,"SAN JUAN AV. y SAENZ PEÑA, LUIS, PRES.",1,-58.38718297,-34.62246630,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,29
2016-0008,1,2016,Enero,Domingo,18,AVENIDA,SI,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.44451316,-34.68475866,MOTO-OBJETO FIJO,MOTO,MOTO,CONDUCTOR,MASCULINO,30
2016-0009,1,2016,Enero,Domingo,19,CALLE,SI,"NOGOYA y GONZALEZ, JOAQUIN V.",11,-58.50095869,-34.60825440,MOTO-AUTO,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,29
2016-0010,1,2016,Enero,Viernes,15,GRAL PAZ,SI,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,18
2016-0012,1,2016,Febrero,Lunes,1,AVENIDA,SI,"BELGRANO AV. e IRIGOYEN, BERNARDO DE",1,-58.38048577,-34.61303893,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,22
2016-0013,1,2016,Febrero,Miércoles,11,AVENIDA,NO,ENTRE RIOS AV. 1366,1,-58.39114932,-34.62477387,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,16
